Hotel ID,Hotel name,Hotel URL,Stars (class),"x,y coordinates",pros,cons,author ID,creation_date
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,"No major issues, nice enough building, some of the staff were exceptionally helpful but in a very genuine way, not just hanging around for a tip.","Parking a bit sparse on the road outside, a porter told me I was actually in a space for the adjacent hotel. Breakfast wasn't much to write home about, but not terrible, lots of choice.",507318092,2022-05-08 14:15:42
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,Spacious room,Old furniture,30115471,2022-04-24 01:01:26
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,"if you are planning to visit Makkah it’s a good choice to book in this hotel because it’s close to Jeddah Makkah highway 
20 mins from the airport 
clean 
they have their own parking",nothing,20699037,2022-04-17 03:30:29
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,"location, interior and staff",window sound insulation is very week,5855913,2022-04-13 17:55:11
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,bed was comfortable,safety locker and weighing scale wasn’t working. Hotel charged me twice the amount for express laundry service although the same wasn’t listed anywhere on the rate card. Hotel management must perform periodic quality checks to rectify faulty equipments.,6851767,2022-03-31 21:38:49
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,Price. Clean. Accessability,,532003207,2022-03-27 08:46:33
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,"Friendly staff , super clean property .",,1735532,2022-03-26 10:50:25
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,room cozy,breakfast,4886454,2022-03-21 21:59:28
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,Wi-Fi is ok,Breakfast too poor,171226249,2022-03-16 22:05:05
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,,poor breakfast variety,210631112,2022-02-08 06:23:11
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,It’s clean and the room was comfy . friendly and hospitality staff.,none,70243243,2022-01-15 21:14:54
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,excellent breakfast. comfortable beds and clean bathroom. professional staff.,they have an issue with running hot water that was not corrected even after maintenance.,32260604,2022-01-06 13:27:10
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,the receptions were nice especially the men,the room was not clean especially the carpets,802081,2021-12-21 22:53:06
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,"Quiet, view from the room","Location, Did not clean the room on day 2",103371638,2021-12-10 08:03:26
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,clean rooms and friendly staff.,"there was a lot of flies in dinning hall during breakfast.
We were sharing one bathroom and I thought there’s ensuite in the master bedroom
It’s said there’s a swimming pool for everyone in the hotel but they didn’t let us utilize it.I booked the place bcos it had what I needed but unfortunately I wasn’t able to enjoy everything",106511192,2021-12-05 19:06:41
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,Room size was perfect with all travelers needs,Nothing to comment,176106011,2021-11-25 12:57:08
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,clean and quiet,they request me to pay an amount for insurance to my stay,117358712,2021-11-16 13:21:45
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,"Spacious rooms, Good breakfast",checkin time,75383015,2021-10-29 06:55:15
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,Good staff & very clean,Food need more improvement,64168868,2021-09-22 17:02:01
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,"Fast check in and check out
Location and value were good",,101471541,2021-09-22 14:23:11
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,"Overall, it is a great hotel. Very much comfortable,  will comeback again if given a chance. Just do better maintenance of the door locks","My door lock was faulty, I always need to go down the reception to ask someone to open it.",389487117,2021-09-12 13:42:58
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,Space and Desk provided.,Internet services was extremely unacceptable.,513221638,2021-09-04 11:46:06
